point1_x,point1_y,point2_x,point2_y,point3_x,point3_y,index_point1,index_point2,index_point3,filename
1022,417,1069,375,1088,380,29,42,47,le_hai_lam.png
1069,375,1022,417,1026,390,42,29,28,le_hai_lam.png
969,488,982,455,991,487,49,31,50,le_hai_lam.png
982,455,969,488,947,493,31,49,48,le_hai_lam.png
864,387,869,346,933,352,1,0,36,le_hai_lam.png
1015,470,1006,495,991,487,33,51,50,le_hai_lam.png
1006,495,1015,470,1023,494,51,33,52,le_hai_lam.png
863,427,864,387,948,360,2,1,41,le_hai_lam.png
863,468,863,427,947,493,3,2,48,le_hai_lam.png
948,360,864,387,933,352,41,1,36,le_hai_lam.png
872,506,863,468,947,493,4,3,48,le_hai_lam.png
991,487,982,455,998,463,50,31,32,le_hai_lam.png
888,541,872,506,947,493,5,4,48,le_hai_lam.png
1068,520,1047,466,1168,474,54,35,14,le_hai_lam.png
1047,466,1068,520,1046,506,35,54,53,le_hai_lam.png
912,573,888,541,961,525,6,5,59,le_hai_lam.png
863,427,982,455,947,493,2,31,48,le_hai_lam.png
982,455,863,427,948,360,31,2,41,le_hai_lam.png
941,601,912,573,981,543,7,6,58,le_hai_lam.png
1022,417,1047,466,1019,444,29,35,30,le_hai_lam.png
1047,466,1022,417,1088,380,35,29,47,le_hai_lam.png
982,616,941,601,981,543,8,7,58,le_hai_lam.png
1019,444,1047,466,1032,469,30,35,34,le_hai_lam.png
1026,620,982,616,1015,550,9,8,56,le_hai_lam.png
1069,605,1026,620,1041,545,10,9,55,le_hai_lam.png
1107,580,1069,605,1041,545,11,10,55,le_hai_lam.png
972,347,968,364,951,344,38,40,37,le_hai_lam.png
968,364,972,347,987,363,40,38,39,le_hai_lam.png
1136,551,1107,580,1068,520,12,11,54,le_hai_lam.png
955,303,951,344,926,304,19,37,18,le_hai_lam.png
951,344,955,303,984,312,37,19,20,le_hai_lam.png
1156,515,1136,551,1068,520,13,12,54,le_hai_lam.png
926,304,933,352,900,322,18,36,17,le_hai_lam.png
933,352,926,304,951,344,36,18,37,le_hai_lam.png
1168,474,1156,515,1068,520,14,13,54,le_hai_lam.png
1180,434,1168,474,1109,382,15,14,46,le_hai_lam.png
987,363,1029,362,1026,390,39,27,28,le_hai_lam.png
1029,362,987,363,1010,327,27,39,21,le_hai_lam.png
1187,392,1180,434,1125,377,16,15,45,le_hai_lam.png
933,352,869,346,900,322,36,0,17,le_hai_lam.png
968,364,1022,417,982,455,40,29,31,le_hai_lam.png
1022,417,968,364,987,363,29,40,39,le_hai_lam.png
1088,380,1109,364,1109,382,47,44,46,le_hai_lam.png
1109,364,1088,380,1089,363,44,47,43,le_hai_lam.png
955,303,1114,323,984,312,19,24,20,le_hai_lam.png
1010,327,1053,333,1029,362,21,22,27,le_hai_lam.png
1053,333,1010,327,984,312,22,21,20,le_hai_lam.png
984,312,1114,323,1084,325,20,24,23,le_hai_lam.png
984,312,1010,327,972,347,20,21,38,le_hai_lam.png
1053,333,1069,375,1029,362,22,42,27,le_hai_lam.png
1069,375,1053,333,1089,363,42,22,43,le_hai_lam.png
1029,362,1069,375,1026,390,27,42,28,le_hai_lam.png
1053,333,984,312,1084,325,22,20,23,le_hai_lam.png
1109,364,1144,333,1125,377,44,25,45,le_hai_lam.png
1144,333,1109,364,1114,323,25,44,24,le_hai_lam.png
1053,333,1084,325,1089,363,22,23,43,le_hai_lam.png
1089,363,1084,325,1109,364,43,23,44,le_hai_lam.png
1084,325,1114,323,1109,364,23,24,44,le_hai_lam.png
1161,355,1125,377,1144,333,26,45,25,le_hai_lam.png
1125,377,1161,355,1187,392,45,26,16,le_hai_lam.png
982,455,1022,417,1019,444,31,29,30,le_hai_lam.png
1047,466,1046,506,1032,469,35,53,34,le_hai_lam.png
1026,390,1022,417,987,363,28,29,39,le_hai_lam.png
1032,469,1023,494,1015,470,34,52,33,le_hai_lam.png
1023,494,1032,469,1046,506,52,34,53,le_hai_lam.png
982,616,981,543,998,549,8,58,57,le_hai_lam.png
1004,508,985,519,989,503,62,67,61,le_hai_lam.png
985,519,1004,508,1000,524,67,62,66,le_hai_lam.png
985,519,981,543,961,525,67,58,59,le_hai_lam.png
981,543,985,519,1000,524,58,67,66,le_hai_lam.png
982,455,1019,444,998,463,31,30,32,le_hai_lam.png
1026,620,1015,550,1041,545,9,56,55,le_hai_lam.png
998,463,1019,444,1015,470,32,30,33,le_hai_lam.png
1023,494,1021,511,1006,495,52,63,51,le_hai_lam.png
1021,511,1023,494,1046,506,63,52,53,le_hai_lam.png
998,463,1015,470,991,487,32,33,50,le_hai_lam.png
1015,470,1019,444,1032,469,33,30,34,le_hai_lam.png
1168,474,1047,466,1109,382,14,35,46,le_hai_lam.png
1180,434,1109,382,1125,377,15,46,45,le_hai_lam.png
951,344,968,364,948,360,37,40,41,le_hai_lam.png
933,352,951,344,948,360,36,37,41,le_hai_lam.png
951,344,984,312,972,347,37,20,38,le_hai_lam.png
972,347,1010,327,987,363,38,21,39,le_hai_lam.png
968,364,982,455,948,360,40,31,41,le_hai_lam.png
1109,382,1109,364,1125,377,46,44,45,le_hai_lam.png
1069,375,1089,363,1088,380,42,43,47,le_hai_lam.png
1109,382,1047,466,1088,380,46,35,47,le_hai_lam.png
961,525,888,541,947,493,59,5,48,le_hai_lam.png
947,493,969,488,956,497,48,49,60,le_hai_lam.png
1000,524,1018,526,1015,550,66,65,56,le_hai_lam.png
1018,526,1000,524,1004,508,65,66,62,le_hai_lam.png
