point1_x,point1_y,point2_x,point2_y,point3_x,point3_y,index_point1,index_point2,index_point3,filename
533,918,666,1001,476,1026,17,36,0,leonardo_di_caprio.png
666,1001,533,918,591,851,36,17,18,leonardo_di_caprio.png
1000,1358,1000,1269,1044,1342,51,33,52,leonardo_di_caprio.png
1000,1269,1000,1358,953,1349,33,51,50,leonardo_di_caprio.png
498,1148,476,1026,666,1001,1,0,36,leonardo_di_caprio.png
895,1248,891,1373,833,1408,31,49,48,leonardo_di_caprio.png
891,1373,895,1248,953,1349,49,31,50,leonardo_di_caprio.png
531,1264,498,1148,719,1015,2,1,41,leonardo_di_caprio.png
719,1015,498,1148,666,1001,41,1,36,leonardo_di_caprio.png
564,1379,531,1264,833,1408,3,2,48,leonardo_di_caprio.png
617,1489,833,1408,699,1571,4,48,5,leonardo_di_caprio.png
833,1408,617,1489,564,1379,48,4,3,leonardo_di_caprio.png
1193,1378,1096,1233,1426,1290,54,35,13,leonardo_di_caprio.png
1096,1233,1193,1378,1118,1357,35,54,53,leonardo_di_caprio.png
531,1264,895,1248,833,1408,2,31,48,leonardo_di_caprio.png
895,1248,531,1264,719,1015,31,2,41,leonardo_di_caprio.png
792,1643,699,1571,902,1470,6,5,59,leonardo_di_caprio.png
1206,914,1156,970,1144,923,44,47,43,leonardo_di_caprio.png
1156,970,1206,914,1216,961,47,44,46,leonardo_di_caprio.png
905,1698,792,1643,902,1470,7,6,59,leonardo_di_caprio.png
1096,965,983,1111,973,1034,42,29,28,leonardo_di_caprio.png
983,1111,1096,965,1156,970,29,42,47,leonardo_di_caprio.png
1037,1709,905,1698,971,1498,8,7,58,leonardo_di_caprio.png
1162,1683,1037,1709,1069,1488,9,8,56,leonardo_di_caprio.png
1266,1610,1162,1683,1135,1459,10,9,55,leonardo_di_caprio.png
714,968,779,1009,719,1015,37,40,41,leonardo_di_caprio.png
779,1009,714,968,774,959,40,37,38,leonardo_di_caprio.png
1350,1511,1266,1610,1135,1459,11,10,55,leonardo_di_caprio.png
779,1009,774,959,833,989,40,38,39,leonardo_di_caprio.png
1406,1407,1350,1511,1193,1378,12,11,54,leonardo_di_caprio.png
964,952,833,989,853,863,27,39,21,leonardo_di_caprio.png
833,989,964,952,973,1034,39,27,28,leonardo_di_caprio.png
1426,1290,1406,1407,1193,1378,13,12,54,leonardo_di_caprio.png
